"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPNZ ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v"
188,0,0,"BC",,,,1,"imm 16/32",,TRUE,,,"mov",2,"sp/esp","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
189,0,0,"BD",,,,1,"imm 16/32",,TRUE,,,"mov",2,"bp/ebp","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
190,0,0,"BE",,,,1,"imm 16/32",,TRUE,,,"mov",2,"si/esi","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
191,0,0,"BF",,,,1,"imm 16/32",,TRUE,,,"mov",2,"di/edi","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
192,0,0,"C0",,,"/0",1,"imm 8",,FALSE,,,"rol",2,"r/m 8","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/1",1,"imm 8",,FALSE,,,"ror",2,"r/m 8","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/2",1,"imm 8",,FALSE,,,"rcl",2,"r/m 8","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/3",1,"imm 8",,FALSE,,,"rcr",2,"r/m 8","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/4",1,"imm 8",,FALSE,,,"shl",2,"r/m 8","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/5",1,"imm 8",,FALSE,,,"shr",2,"r/m 8","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/6",1,"imm 8",,FALSE,,,"shl",2,"r/m 8","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
192,0,0,"C0",,,"/7",1,"imm 8",,FALSE,,,"sar",2,"r/m 8","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/0",1,"imm 8",,TRUE,,,"rol",2,"r/m 16/32","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/1",1,"imm 8",,TRUE,,,"ror",2,"r/m 16/32","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/2",1,"imm 8",,TRUE,,,"rcl",2,"r/m 16/32","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/3",1,"imm 8",,TRUE,,,"rcr",2,"r/m 16/32","imm 8",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/4",1,"imm 8",,TRUE,,,"shl",2,"r/m 16/32","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/5",1,"imm 8",,TRUE,,,"shr",2,"r/m 16/32","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/6",1,"imm 8",,TRUE,,,"shl",2,"r/m 16/32","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
193,0,0,"C1",,,"/7",1,"imm 8",,TRUE,,,"sar",2,"r/m 16/32","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
194,0,0,"C2",,,,1,"imm 16",,FALSE,,,"ret",1,"imm 16",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
195,0,0,"C3",,,,0,,,FALSE,,,"ret",0,,,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
196,0,0,"C4",,,"/r",0,,,TRUE,,,"les",2,"r 16/32","m 32/48",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
197,0,0,"C5",,,"/r",0,,,TRUE,,,"lds",2,"r 16/32","m 32/48",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
198,0,0,"C6",,,"/0",1,"imm 8",,FALSE,,,"mov",2,"r/m 8","imm 8",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
199,0,0,"C7",,,"/0",1,"imm 16/32",,TRUE,,,"mov",2,"r/m 16/32","imm 16/32",,,,,"GP,SS,NP,PF,AC,UD","GP,SS,UD","GP,SS,PF,AC,UD"
200,0,0,"C8",,,,2,"imm 16","imm 8",FALSE,,,"enter",2,"imm 16","imm 8",,,,,"SS,PF","SS","SS,PF"
201,0,0,"C9",,,,0,,,FALSE,,,"leave",0,,,,,,,"SS,PF,AC","GP","GP,PF,AC"
202,0,0,"CA",,,,1,"imm 16",,FALSE,,,"ret",1,"imm 16",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
203,0,0,"CB",,,,0,,,FALSE,,,"ret",0,,,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
204,0,0,"CC",,,,0,,,FALSE,,,"int3",0,,,,,,,"GP,SS,NP,TS,PF","GP,SS","GP,SS,NP,TS,PF,BP,OF"
205,0,0,"CD",,,,1,"imm 8",,FALSE,,,"int",1,"imm 8",,,,,,"GP,SS,NP,TS,PF","GP,SS","GP,SS,NP,TS,PF,BP,OF"
206,0,0,"CE",,,,0,,,FALSE,,,"into",0,,,,,,,"GP,SS,NP,TS,PF","GP,SS","GP,SS,NP,TS,PF,BP,OF"
207,0,0,"CF",,,,0,,,TRUE,,,"iretw/iretd",0,,,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/0",0,,,FALSE,,,"rol",2,"r/m 8","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/1",0,,,FALSE,,,"ror",2,"r/m 8","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/2",0,,,FALSE,,,"rcl",2,"r/m 8","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/3",0,,,FALSE,,,"rcr",2,"r/m 8","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/4",0,,,FALSE,,,"shl",2,"r/m 8","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/5",0,,,FALSE,,,"shr",2,"r/m 8","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/6",0,,,FALSE,,,"shl",2,"r/m 8","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
208,0,0,"D0",,,"/7",0,,,FALSE,,,"sar",2,"r/m 8","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/0",0,,,TRUE,,,"rol",2,"r/m 16/32","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/1",0,,,TRUE,,,"ror",2,"r/m 16/32","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/2",0,,,TRUE,,,"rcl",2,"r/m 16/32","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/3",0,,,TRUE,,,"rcr",2,"r/m 16/32","1",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/4",0,,,TRUE,,,"shl",2,"r/m 16/32","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/5",0,,,TRUE,,,"shr",2,"r/m 16/32","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/6",0,,,TRUE,,,"shl",2,"r/m 16/32","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
209,0,0,"D1",,,"/7",0,,,TRUE,,,"sar",2,"r/m 16/32","1",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/0",0,,,FALSE,,,"rol",2,"r/m 8","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/1",0,,,FALSE,,,"ror",2,"r/m 8","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/2",0,,,FALSE,,,"rcl",2,"r/m 8","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/3",0,,,FALSE,,,"rcr",2,"r/m 8","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/4",0,,,FALSE,,,"shl",2,"r/m 8","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/5",0,,,FALSE,,,"shr",2,"r/m 8","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/6",0,,,FALSE,,,"shl",2,"r/m 8","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
210,0,0,"D2",,,"/7",0,,,FALSE,,,"sar",2,"r/m 8","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/0",0,,,TRUE,,,"rol",2,"r/m 16/32","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/1",0,,,TRUE,,,"ror",2,"r/m 16/32","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/2",0,,,TRUE,,,"rcl",2,"r/m 16/32","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/3",0,,,TRUE,,,"rcr",2,"r/m 16/32","cl",,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/4",0,,,TRUE,,,"shl",2,"r/m 16/32","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/5",0,,,TRUE,,,"shr",2,"r/m 16/32","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/6",0,,,TRUE,,,"shl",2,"r/m 16/32","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
211,0,0,"D3",,,"/7",0,,,TRUE,,,"sar",2,"r/m 16/32","cl",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
212,0,0,"D4",,,,1,"imm 8",,FALSE,,,"aam",0,,,,"SF,ZF,PF",,,"DE","DE","DE"
213,0,0,"D5",,,,1,"imm 8",,FALSE,,,"aad",0,,,,"SF,ZF,PF",,,,,
214,0,0,"D6",,,,0,,,FALSE,,,"setalc",0,,,,,,,,,
215,0,0,"D7",,,,0,,,FALSE,,,"xlatb",0,,,,,,,"GP,SS,PF","GP,SS","GP,SS,PF"
224,0,0,"E0",,,,1,"imm 8",,FALSE,,,"loopnz",1,"imm 8",,,,,,"GP","GP","GP"
225,0,0,"E1",,,,1,"imm 8",,FALSE,,,"loopz",1,"imm 8",,,,,,"GP","GP","GP"
226,0,0,"E2",,,,1,"imm 8",,FALSE,,,"loop",1,"imm 8",,,,,,"GP","GP","GP"
227,0,0,"E3",,,,1,"imm 8",,FALSE,,,"jcxz",1,"rel 8",,,,,,"GP","GP","GP"
228,0,0,"E4",,,,1,"imm 8",,FALSE,,,"in",2,"al","imm 8",,,,,"GP",,"GP"
229,0,0,"E5",,,,1,"imm 8",,TRUE,,,"in",2,"ax/eax","imm 8",,,,,"GP",,"GP"
230,0,0,"E6",,,,1,"imm 8",,FALSE,,,"out",2,"imm 8","al",,,,,"GP",,"GP"
231,0,0,"E7",,,,1,"imm 8",,TRUE,,,"out",2,"imm 8","ax/eax",,,,,"GP",,"GP"
232,0,0,"E8",,,,1,"imm 16/32",,TRUE,,,"call",1,"imm 16/32",,,,,,"GP,SS,NP,TS,PF,AC","GP","GP,PF,AC"
233,0,0,"E9",,,,1,"imm 16/32",,TRUE,,,"jmp",1,"rel 16/32",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
234,0,0,"EA",,,,1,"imm 32/48",,TRUE,,,"jmp",1,"far 32/48",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
235,0,0,"EB",,,,1,"imm 8",,FALSE,,,"jmp",1,"rel 8",,,,,,"GP,SS,NP,PF,AC","GP,SS","GP,SS,PF,AC"
236,0,0,"EC",,,,0,,,FALSE,,,"in",2,"al","dx",,,,,"GP",,"GP"
237,0,0,"ED",,,,0,,,TRUE,,,"in",2,"ax/eax","dx",,,,,"GP",,"GP"
238,0,0,"EE",,,,0,,,FALSE,,,"out",2,"dx","al",,,,,"GP",,"GP"
239,0,0,"EF",,,,0,,,TRUE,,,"out",2,"dx","ax/eax",,,,,"GP",,"GP"
241,0,0,"F1",,,,0,,,TRUE,,,"icebp",0,,,,,,,,,
244,0,0,"F4",,,,0,,,FALSE,,,"hlt",0,,,,,,,"GP",,"GP"
245,0,0,"F5",,,,0,,,FALSE,,,"cmc",0,,,,"CF",,,,,
246,0,0,"F6",,,"/0",1,"imm 8",,FALSE,,,"test",2,"r/m 8","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
246,0,0,"F6",,,"/1",1,"imm 8",,FALSE,,,"test",2,"r/m 8","imm 8",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
246,0,0,"F6",,,"/2",0,,,FALSE,,,"not",1,"r/m 8",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
246,0,0,"F6",,,"/3",0,,,FALSE,,,"neg",1,"r/m 8",,,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
246,0,0,"F6",,,"/4",0,,,FALSE,,,"mul",1,"r/m 8",,,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
246,0,0,"F6",,,"/5",0,,,FALSE,,,"imul",1,"r/m 8",,,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
246,0,0,"F6",,,"/6",0,,,FALSE,,,"div",1,"r/m 8",,,,,,"DE,GP,SS,PF,AC","DE,GP,SS","DE,GP,SS,PF,AC"
246,0,0,"F6",,,"/7",0,,,FALSE,,,"idiv",1,"r/m 8",,,,,,"DE,GP,SS,PF,AC","DE,GP,SS","DE,GP,SS,PF,AC"
247,0,0,"F7",,,"/0",1,"imm 16/32",,TRUE,,,"test",2,"r/m 16/32","imm 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
247,0,0,"F7",,,"/1",1,"imm 16/32",,TRUE,,,"test",2,"r/m 16/32","imm 16/32",,"CF,OF,SF,ZF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
247,0,0,"F7",,,"/2",0,,,TRUE,,,"not",1,"r/m 16/32",,,,,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
247,0,0,"F7",,,"/3",0,,,TRUE,,,"neg",1,"r/m 16/32",,,"CF,OF,SF,ZF,AF,PF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
247,0,0,"F7",,,"/4",0,,,TRUE,,,"mul",1,"r/m 16/32",,,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
247,0,0,"F7",,,"/5",0,,,TRUE,,,"imul",1,"r/m 16/32",,,"CF,OF",,,"GP,SS,PF,AC","GP,SS","GP,SS,PF,AC"
247,0,0,"F7",,,"/6",0,,,TRUE,,,"div",1,"r/m 16/32",,,,,,"DE,GP,SS,PF,AC","DE,GP,SS","DE,GP,SS,PF,AC"
247,0,0,"F7",,,"/7",0,,,TRUE,,,"idiv",1,"r/m 16/32",,,,,,"DE,GP,SS,PF,AC","DE,GP,SS","DE,GP,SS,PF,AC"
248,0,0,"F8",,,,0,,,FALSE,,,"clc",0,,,,"CF",,,,,
249,0,0,"F9",,,,0,,,FALSE,,,"stc",0,,,,"CF",,,,,
250,0,0,"FA",,,,0,,,FALSE,,,"cli",0,,,,"IF,VIF",,,"GP",,"GP"
251,0,0,"FB",,,,0,,,FALSE,,,"sti",0,,,,"IF,VIF",,,"GP",,"GP"
