"dec1","dec2","dec3","hex1","hex2","hex3","modrm","#operands","operand1","operand2","66H ?","REP ?","REPE ?","mnemonic","#asm_operands","asm operand1","asm operand2","asm operand3","eflags","fpu flags","exception fpu","exception p","exception r","exception v",
15,32,234,"0F",20,"EA",,0,,,FALSE,,,"mov",2,"edx","cr5",,,,,"GP","GP","GP",
15,32,235,"0F",20,"EB",,0,,,FALSE,,,"mov",2,"ebx","cr5",,,,,"GP","GP","GP",
15,32,236,"0F",20,"EC",,0,,,FALSE,,,"mov",2,"esp","cr5",,,,,"GP","GP","GP",
15,32,237,"0F",20,"ED",,0,,,FALSE,,,"mov",2,"ebp","cr5",,,,,"GP","GP","GP",
15,32,238,"0F",20,"EE",,0,,,FALSE,,,"mov",2,"esi","cr5",,,,,"GP","GP","GP",
15,32,239,"0F",20,"EF",,0,,,FALSE,,,"mov",2,"edi","cr5",,,,,"GP","GP","GP",
15,32,240,"0F",20,"F0",,0,,,FALSE,,,"mov",2,"eax","cr6",,,,,"GP","GP","GP",
15,32,241,"0F",20,"F1",,0,,,FALSE,,,"mov",2,"ecx","cr6",,,,,"GP","GP","GP",
15,32,242,"0F",20,"F2",,0,,,FALSE,,,"mov",2,"edx","cr6",,,,,"GP","GP","GP",
15,32,243,"0F",20,"F3",,0,,,FALSE,,,"mov",2,"ebx","cr6",,,,,"GP","GP","GP",
15,32,244,"0F",20,"F4",,0,,,FALSE,,,"mov",2,"esp","cr6",,,,,"GP","GP","GP",
15,32,245,"0F",20,"F5",,0,,,FALSE,,,"mov",2,"ebp","cr6",,,,,"GP","GP","GP",
15,32,246,"0F",20,"F6",,0,,,FALSE,,,"mov",2,"esi","cr6",,,,,"GP","GP","GP",
15,32,247,"0F",20,"F7",,0,,,FALSE,,,"mov",2,"edi","cr6",,,,,"GP","GP","GP",
15,32,248,"0F",20,"F8",,0,,,FALSE,,,"mov",2,"eax","cr7",,,,,"GP","GP","GP",
15,32,249,"0F",20,"F9",,0,,,FALSE,,,"mov",2,"ecx","cr7",,,,,"GP","GP","GP",
15,32,250,"0F",20,"FA",,0,,,FALSE,,,"mov",2,"edx","cr7",,,,,"GP","GP","GP",
15,32,251,"0F",20,"FB",,0,,,FALSE,,,"mov",2,"ebx","cr7",,,,,"GP","GP","GP",
15,32,252,"0F",20,"FC",,0,,,FALSE,,,"mov",2,"esp","cr7",,,,,"GP","GP","GP",
15,32,253,"0F",20,"FD",,0,,,FALSE,,,"mov",2,"ebp","cr7",,,,,"GP","GP","GP",
15,32,254,"0F",20,"FE",,0,,,FALSE,,,"mov",2,"esi","cr7",,,,,"GP","GP","GP",
15,32,255,"0F",20,"FF",,0,,,FALSE,,,"mov",2,"edi","cr7",,,,,"GP","GP","GP",
15,33,192,"0F",21,"C0",,0,,,FALSE,,,"mov",2,"eax","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,193,"0F",21,"C1",,0,,,FALSE,,,"mov",2,"ecx","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,194,"0F",21,"C2",,0,,,FALSE,,,"mov",2,"edx","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,195,"0F",21,"C3",,0,,,FALSE,,,"mov",2,"ebx","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,196,"0F",21,"C4",,0,,,FALSE,,,"mov",2,"esp","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,197,"0F",21,"C5",,0,,,FALSE,,,"mov",2,"ebp","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,198,"0F",21,"C6",,0,,,FALSE,,,"mov",2,"esi","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,199,"0F",21,"C7",,0,,,FALSE,,,"mov",2,"edi","dr0",,,,,"GP,DB,UD","DB,UD","GP",
15,33,200,"0F",21,"C8",,0,,,FALSE,,,"mov",2,"eax","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,201,"0F",21,"C9",,0,,,FALSE,,,"mov",2,"ecx","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,202,"0F",21,"CA",,0,,,FALSE,,,"mov",2,"edx","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,203,"0F",21,"CB",,0,,,FALSE,,,"mov",2,"ebx","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,204,"0F",21,"CC",,0,,,FALSE,,,"mov",2,"esp","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,205,"0F",21,"CD",,0,,,FALSE,,,"mov",2,"ebp","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,206,"0F",21,"CE",,0,,,FALSE,,,"mov",2,"esi","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,207,"0F",21,"CF",,0,,,FALSE,,,"mov",2,"edi","dr1",,,,,"GP,DB,UD","DB,UD","GP",
15,33,208,"0F",21,"D0",,0,,,FALSE,,,"mov",2,"eax","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,209,"0F",21,"D1",,0,,,FALSE,,,"mov",2,"ecx","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,210,"0F",21,"D2",,0,,,FALSE,,,"mov",2,"edx","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,211,"0F",21,"D3",,0,,,FALSE,,,"mov",2,"ebx","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,212,"0F",21,"D4",,0,,,FALSE,,,"mov",2,"esp","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,213,"0F",21,"D5",,0,,,FALSE,,,"mov",2,"ebp","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,214,"0F",21,"D6",,0,,,FALSE,,,"mov",2,"esi","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,215,"0F",21,"D7",,0,,,FALSE,,,"mov",2,"edi","dr2",,,,,"GP,DB,UD","DB,UD","GP",
15,33,216,"0F",21,"D8",,0,,,FALSE,,,"mov",2,"eax","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,217,"0F",21,"D9",,0,,,FALSE,,,"mov",2,"ecx","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,218,"0F",21,"DA",,0,,,FALSE,,,"mov",2,"edx","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,219,"0F",21,"DB",,0,,,FALSE,,,"mov",2,"ebx","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,220,"0F",21,"DC",,0,,,FALSE,,,"mov",2,"esp","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,221,"0F",21,"DD",,0,,,FALSE,,,"mov",2,"ebp","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,222,"0F",21,"DE",,0,,,FALSE,,,"mov",2,"esi","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,223,"0F",21,"DF",,0,,,FALSE,,,"mov",2,"edi","dr3",,,,,"GP,DB,UD","DB,UD","GP",
15,33,224,"0F",21,"E0",,0,,,FALSE,,,"mov",2,"eax","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,225,"0F",21,"E1",,0,,,FALSE,,,"mov",2,"ecx","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,226,"0F",21,"E2",,0,,,FALSE,,,"mov",2,"edx","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,227,"0F",21,"E3",,0,,,FALSE,,,"mov",2,"ebx","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,228,"0F",21,"E4",,0,,,FALSE,,,"mov",2,"esp","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,229,"0F",21,"E5",,0,,,FALSE,,,"mov",2,"ebp","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,230,"0F",21,"E6",,0,,,FALSE,,,"mov",2,"esi","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,231,"0F",21,"E7",,0,,,FALSE,,,"mov",2,"edi","dr4",,,,,"GP,DB,UD","DB,UD","GP",
15,33,232,"0F",21,"E8",,0,,,FALSE,,,"mov",2,"eax","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,233,"0F",21,"E9",,0,,,FALSE,,,"mov",2,"ecx","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,234,"0F",21,"EA",,0,,,FALSE,,,"mov",2,"edx","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,235,"0F",21,"EB",,0,,,FALSE,,,"mov",2,"ebx","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,236,"0F",21,"EC",,0,,,FALSE,,,"mov",2,"esp","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,237,"0F",21,"ED",,0,,,FALSE,,,"mov",2,"ebp","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,238,"0F",21,"EE",,0,,,FALSE,,,"mov",2,"esi","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,239,"0F",21,"EF",,0,,,FALSE,,,"mov",2,"edi","dr5",,,,,"GP,DB,UD","DB,UD","GP",
15,33,240,"0F",21,"F0",,0,,,FALSE,,,"mov",2,"eax","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,241,"0F",21,"F1",,0,,,FALSE,,,"mov",2,"ecx","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,242,"0F",21,"F2",,0,,,FALSE,,,"mov",2,"edx","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,243,"0F",21,"F3",,0,,,FALSE,,,"mov",2,"ebx","dr6",,,,,"GP,DB,UD","DB,UD","GP",
15,33,244,"0F",21,"F4",,0,,,FALSE,,,"mov",2,"esp","dr6",,,,,"GP,DB,UD","DB,UD","GP",
